,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
24557,Palmer,Palmer,40.7007,-75.2628,United States,US,USA,Pennsylvania,,22133.0,1840149341
24573,Silver Firs,Silver Firs,47.8635,-122.1497,United States,US,USA,Washington,,22122.0,1840037898
24576,Cherry Hill,Cherry Hill,38.5696,-77.2895,United States,US,USA,Virginia,,22118.0,1840026712
24578,Guilford,Guilford,41.3345,-72.7004,United States,US,USA,Connecticut,,22113.0,1840045023
24579,Watertown,Watertown,41.616,-73.1177,United States,US,USA,Connecticut,,22110.0,1840035651
24580,Bloomington,Bloomington,34.0601,-117.4013,United States,US,USA,California,,22107.0,1840017799
24588,Lower,Lower,38.9819,-74.9087,United States,US,USA,New Jersey,,22095.0,1840081575
24594,Darien,Darien,41.7448,-87.9822,United States,US,USA,Illinois,,22087.0,1840007045
24600,Horizon City,Horizon City,31.6799,-106.1903,United States,US,USA,Texas,,22075.0,1840020805
24606,Hastings,Hastings,44.7318,-92.8538,United States,US,USA,Minnesota,,22063.0,1840006770
24614,Chillicothe,Chillicothe,39.3393,-82.9939,United States,US,USA,Ohio,,22047.0,1840007369
24631,Rancho San Diego,Rancho San Diego,32.7624,-116.9197,United States,US,USA,California,,22019.0,1840019347
24634,DeBary,DeBary,28.8815,-81.324,United States,US,USA,Florida,,22015.0,1840015070
24635,Ensley,Ensley,30.5259,-87.2733,United States,US,USA,Florida,,22015.0,1840013104
24651,Conway,Conway,33.8401,-79.0431,United States,US,USA,South Carolina,,22001.0,1840014716
24652,Pascagoula,Pascagoula,30.3666,-88.5506,United States,US,USA,Mississippi,,22001.0,1840015018
24658,La Porte,La Porte,41.6069,-86.7142,United States,US,USA,Indiana,,21993.0,1840030063
24660,New Castle,New Castle,40.9956,-80.3458,United States,US,USA,Pennsylvania,,21992.0,1840000938
24663,Brambleton,Brambleton,38.9803,-77.5323,United States,US,USA,Virginia,,21986.0,1840024497
24667,Chalmette,Chalmette,29.9438,-89.966,United States,US,USA,Louisiana,,21981.0,1840014001
24671,Winter Gardens,Winter Gardens,32.8376,-116.9268,United States,US,USA,California,,21978.0,1840019351
24679,East Ridge,East Ridge,34.9973,-85.2285,United States,US,USA,Tennessee,,21967.0,1840013452
24684,Montclair,Montclair,38.6111,-77.34,United States,US,USA,Virginia,,21961.0,1840006095
24686,West Pensacola,West Pensacola,30.4263,-87.2679,United States,US,USA,Florida,,21960.0,1840013915
24689,Port Hueneme,Port Hueneme,34.1618,-119.2036,United States,US,USA,California,,21954.0,1840020475
24708,Parsippany,Parsippany,40.8645,-74.4135,United States,US,USA,New Jersey,,21931.0,1840033373
24709,Katy,Katy,29.7905,-95.8353,United States,US,USA,Texas,,21926.0,1840019648
24723,Gallup,Gallup,35.5182,-108.7431,United States,US,USA,New Mexico,,21901.0,1840020395
24735,South Euclid,South Euclid,41.524,-81.5245,United States,US,USA,Ohio,,21882.0,1840003414
24736,New Hartford,New Hartford,43.0586,-75.2821,United States,US,USA,New York,,21882.0,1840004206
24737,Mount Pleasant,Mount Pleasant,43.5966,-84.7759,United States,US,USA,Michigan,,21880.0,1840002663
24750,Alliance,Alliance,40.9107,-81.1189,United States,US,USA,Ohio,,21864.0,1840000962
24754,Scarborough,Scarborough,43.5911,-70.3682,United States,US,USA,Maine,,21857.0,1840052990
24756,Smithfield,Smithfield,41.9014,-71.5308,United States,US,USA,Rhode Island,,21855.0,1840106200
24760,Ramona,Ramona,33.0474,-116.8766,United States,US,USA,California,,21853.0,1840019346
24761,Sapulpa,Sapulpa,36.0091,-96.1003,United States,US,USA,Oklahoma,,21853.0,1840021691
24764,Essex,Essex,44.5196,-73.0656,United States,US,USA,Vermont,,21851.0,1840115363
24772,East Patchogue,East Patchogue,40.7704,-72.9817,United States,US,USA,New York,,21830.0,1840005040
24777,Fairhope,Fairhope,30.5209,-87.8813,United States,US,USA,Alabama,,21825.0,1840002039
24782,Sanford,Sanford,43.4244,-70.7573,United States,US,USA,Maine,,21812.0,1840002672
24797,Del City,Del City,35.4483,-97.4408,United States,US,USA,Oklahoma,,21778.0,1840019154
24802,Unity,Unity,40.2811,-79.4236,United States,US,USA,Pennsylvania,,21765.0,1840144811
24816,Vicksburg,Vicksburg,32.3173,-90.8868,United States,US,USA,Mississippi,,21748.0,1840015802
24825,American Canyon,American Canyon,38.1796,-122.2583,United States,US,USA,California,,21735.0,1840018834
24830,Birmingham,Birmingham,42.5446,-83.2166,United States,US,USA,Michigan,,21728.0,1840002438
24832,Evans,Evans,40.366,-104.739,United States,US,USA,Colorado,,21727.0,1840020147
24836,Duarte,Duarte,34.161,-117.9504,United States,US,USA,California,,21723.0,1840019246
24839,Brent,Brent,30.4727,-87.2495,United States,US,USA,Florida,,21717.0,1840013913
24843,Klamath Falls,Klamath Falls,42.2195,-121.7754,United States,US,USA,Oregon,,21710.0,1840020054
24850,Manor,Manor,39.9848,-76.4216,United States,US,USA,Pennsylvania,,21703.0,1840147751
24856,Bayou Cane,Bayou Cane,29.6243,-90.751,United States,US,USA,Louisiana,,21699.0,1840014031
24858,Sedalia,Sedalia,38.7059,-93.234,United States,US,USA,Missouri,,21696.0,1840009724
24860,Ashland,Ashland,38.4592,-82.6448,United States,US,USA,Kentucky,,21695.0,1840013195
24869,New Hope,New Hope,45.0375,-93.3869,United States,US,USA,Minnesota,,21683.0,1840007829
24870,Muhlenberg,Muhlenberg,40.3955,-75.925,United States,US,USA,Pennsylvania,,21682.0,1840100491
24876,Granite Bay,Granite Bay,38.7601,-121.1714,United States,US,USA,California,,21673.0,1840017559
24883,Yucca Valley,Yucca Valley,34.1234,-116.4216,United States,US,USA,California,,21663.0,1840022726
24890,Mililani Mauka,Mililani Mauka,21.4756,-157.9948,United States,US,USA,Hawaii,,21657.0,1840039224
24894,Frederickson,Frederickson,47.0916,-122.3603,United States,US,USA,Washington,,21651.0,1840037551
24896,Hazel Dell,Hazel Dell,45.6797,-122.6553,United States,US,USA,Washington,,21650.0,1840037662
24900,Millburn,Millburn,40.7394,-74.324,United States,US,USA,New Jersey,,21637.0,1840081751
24902,Middleton,Middleton,43.1064,-89.5059,United States,US,USA,Wisconsin,,21634.0,1840002919
24912,Bear,Bear,39.6189,-75.6808,United States,US,USA,Delaware,,21625.0,1840005568
24934,Brunswick,Brunswick,43.9007,-69.9761,United States,US,USA,Maine,,21589.0,1840052591
24935,Dolton,Dolton,41.6284,-87.5979,United States,US,USA,Illinois,,21588.0,1840011269
24944,Shelby,Shelby,35.2904,-81.5451,United States,US,USA,North Carolina,,21564.0,1840015426
24957,Tukwila,Tukwila,47.475,-122.2728,United States,US,USA,Washington,,21545.0,1840021120
24975,South Holland,South Holland,41.5977,-87.6022,United States,US,USA,Illinois,,21524.0,1840011324
24980,Rocky River,Rocky River,41.4702,-81.8525,United States,US,USA,Ohio,,21515.0,1840003410
25001,Sulphur,Sulphur,30.2286,-93.3566,United States,US,USA,Louisiana,,21490.0,1840015927
25005,Darien,Darien,41.0798,-73.4824,United States,US,USA,Connecticut,,21485.0,1840034409
25013,Geneva,Geneva,41.8833,-88.3242,United States,US,USA,Illinois,,21472.0,1840008135
25016,Rose Hill,Rose Hill,38.7872,-77.1085,United States,US,USA,Virginia,,21466.0,1840133323
25040,Secaucus,Secaucus,40.781,-74.0659,United States,US,USA,New Jersey,,21439.0,1840001033
25041,Holiday,Holiday,28.1864,-82.7429,United States,US,USA,Florida,,21435.0,1840014114
25054,Somers,Somers,41.3056,-73.7252,United States,US,USA,New York,,21419.0,1840058503
25060,North Salt Lake,North Salt Lake,40.8439,-111.9187,United States,US,USA,Utah,,21411.0,1840020144
25061,Mukilteo,Mukilteo,47.9096,-122.3035,United States,US,USA,Washington,,21409.0,1840019793
