code,city_state
4063,"Fredericksburg,Virginia"
4086,"Leesburg,Florida"
4113,"Champaign,Illinois"
4137,"Hollywood,Florida"
4151,"Pasadena,Texas"
4160,"Pomona,California"
4163,"Escondido,California"
4192,"Joliet,Illinois"
4203,"Lake Charles,Louisiana"
4206,"Mesquite,Texas"
4210,"Mauldin,South Carolina"
4216,"Panama City,Florida"
4217,"Bellevue,Washington"
4228,"Naperville,Illinois"
4238,"Harlingen,Texas"
4239,"Tuscaloosa,Alabama"
4259,"Elkhart,Indiana"
4268,"Torrance,California"
4270,"Ramapo,New York"
4279,"Binghamton,New York"
4283,"Houma,Louisiana"
4288,"Topeka,Kansas"
4312,"Roseville,California"
4326,"Fairfield,California"
4346,"Tyler,Texas"
4373,"Fullerton,California"
4378,"Pueblo,Colorado"
4387,"Athens,Georgia"
4388,"Santa Maria,California"
4398,"Surprise,Arizona"
4407,"Charleston,West Virginia"
4413,"Las Cruces,New Mexico"
4430,"Metairie,Louisiana"
4431,"Thornton,Colorado"
4437,"Olathe,Kansas"
4459,"Gainesville,Georgia"
4463,"West Valley City,Utah"
4467,"Orange,California"
4475,"Warren,Michigan"
4481,"Pasadena,California"
4510,"Beaumont,Texas"
4525,"Burlington,North Carolina"
4539,"Hampton,Virginia"
4541,"Columbia,Missouri"
4567,"Yuma,Arizona"
4572,"Elizabeth,New Jersey"
4584,"Racine,Wisconsin"
4586,"Greeley,Colorado"
4600,"Kent,Washington"
4604,"Stamford,Connecticut"
4605,"Odessa,Texas"
4615,"Bloomington,Illinois"
4618,"Miramar,Florida"
4622,"Grand Junction,Colorado"
4623,"Sterling Heights,Michigan"
4633,"Coral Springs,Florida"
4671,"Johnson City,Tennessee"
4683,"Carrollton,Texas"
4707,"Midland,Texas"
4717,"Yakima,Washington"
4726,"Lakewood,New Jersey"
4740,"Bellingham,Washington"
4741,"Yuba City,California"
4768,"Amherst,New York"
4793,"South Lyon,Michigan"
4803,"Santa Clara,California"
4804,"St. George,Utah"
4812,"Fort Smith,Arkansas"
4828,"Simi Valley,California"
4865,"Dover,Delaware"
4869,"Norman,Oklahoma"
4882,"Abilene,Texas"
4898,"Billings,Montana"
4939,"Lehigh Acres,Florida"
4946,"St. Cloud,Minnesota"
4959,"Kenosha,Wisconsin"
4969,"Greenville,North Carolina"
4971,"Arvada,Colorado"
4980,"Pearland,Texas"
4991,"Independence,Missouri"
4996,"Texas City,Texas"
5013,"Redding,California"
5036,"Lynchburg,Virginia"
5038,"Boulder,Colorado"
5071,"Iowa City,Iowa"
5081,"Rochester,Minnesota"
5085,"Berkeley,California"
5090,"Waldorf,Maryland"
5099,"The Villages,Florida"
5111,"Duluth,Minnesota"
5112,"East Los Angeles,California"
5116,"Saginaw,Michigan"
5135,"Clovis,California"
5146,"Leominster,Massachusetts"
5162,"Round Rock,Texas"
5191,"Monroe,Louisiana"
5206,"Cambridge,Massachusetts"
5218,"Clearwater,Florida"
5223,"Smithtown,New York"
5238,"Seaside,California"
5243,"West Jordan,Utah"
5250,"Richardson,Texas"
5253,"West Palm Beach,Florida"
5254,"Temple,Texas"
5258,"Burlington,Vermont"
5259,"Richmond,California"
5265,"Westminster,Colorado"
5269,"Pottstown,Pennsylvania"
5272,"Brandon,Florida"
5275,"Rock Hill,South Carolina"
5278,"Meridian,Idaho"
5290,"Coeur d'Alene,Idaho"
5291,"Carlsbad,California"
5295,"Lowell,Massachusetts"
5300,"Waterloo,Iowa"
5304,"North Charleston,South Carolina"
5314,"Gilroy,California"
5318,"Downey,California"
5320,"Gresham,Oregon"
5322,"Elgin,Illinois"
5377,"Utica,New York"
5383,"Broken Arrow,Oklahoma"
5417,"Costa Mesa,California"
5418,"Chico,California"
5425,"Sioux City,Iowa"
5432,"League City,Texas"
5436,"Miami Gardens,Florida"
5451,"Pompano Beach,Florida"
5489,"San Buenaventura,California"
5493,"Everett,Washington"
5495,"El Centro,California"
5503,"Sugar Land,Texas"
5507,"El Monte,California"
5513,"Lewisville,Texas"
5547,"West Covina,California"
5549,"Temecula,California"
5554,"Bend,Oregon"
5565,"Salisbury,Maryland"
5585,"Jacksonville,North Carolina"
5598,"Inglewood,California"
5605,"Dearborn,Michigan"
5606,"Centennial,Colorado"
5630,"Burbank,California"
5650,"Edison,New Jersey"
5652,"Sparks,Nevada"
5666,"Sandy Springs,Georgia"
5678,"Bloomington,Indiana"
5679,"Logan,Utah"
5685,"Kailua,Hawaii"
5689,"El Cajon,California"
5699,"Hillsboro,Oregon"
5716,"South Fulton,Georgia"
5728,"Renton,Washington"
5744,"Mandeville,Louisiana"
5745,"San Mateo,California"
5746,"Columbia,Maryland"
5755,"Daly City,California"
5760,"Davie,Florida"
5764,"Jurupa Valley,California"
5787,"Brockton,Massachusetts"
5798,"Longmont,Colorado"
5810,"Rialto,California"
5827,"Eau Claire,Wisconsin"
5838,"Turlock,California"
5839,"Woodbridge,New Jersey"
5840,"Norwalk,California"
5848,"Highlands Ranch,Colorado"
5871,"Allen,Texas"
5880,"Wichita Falls,Texas"
5886,"Rio Rancho,New Mexico"
5893,"Vacaville,California"
5898,"Spokane Valley,Washington"
5899,"Charlottesville,Virginia"
5931,"Idaho Falls,Idaho"
5939,"Menifee,California"
5953,"Lee's Summit,Missouri"
5962,"Quincy,Massachusetts"
5974,"San Angelo,Texas"
5976,"Lynn,Massachusetts"
5977,"Holland,Michigan"
5994,"Santa Fe,New Mexico"
6005,"Vista,California"
6035,"Orem,Utah"
6045,"Sunrise,Florida"
6048,"Compton,California"
6054,"Arden-Arcade,California"
6098,"South Gate,California"
6104,"Santa Monica,California"
6123,"Westminster,California"
6127,"San Leandro,California"
6154,"Germantown,Maryland"
6160,"Bismarck,North Dakota"
6168,"Clifton,New Jersey"
6181,"State College,Pennsylvania"
6196,"Hawthorne,California"
6199,"Lawrence,Massachusetts"
6202,"Citrus Heights,California"
6206,"Whittier,California"
6228,"Deerfield Beach,Florida"
6250,"Upper Darby,Pennsylvania"
6251,"Cicero,Illinois"
6265,"Pine Hills,Florida"
6273,"Buena Park,California"
6283,"Miami Beach,Florida"
6291,"Alhambra,California"
6300,"Silver Spring,Maryland"
6301,"Lakewood,California"
6302,"Mountain View,California"
6338,"New Rochelle,New York"
6344,"Lebanon,Pennsylvania"
6345,"Somerville,Massachusetts"
6361,"Tustin,California"
6369,"Milpitas,California"
6379,"Bellflower,California"
6391,"Evanston,Illinois"
6399,"Alameda,California"
6440,"Cheyenne,Wyoming"
6444,"Watsonville,California"
6463,"Davis,California"
6467,"Pawtucket,Rhode Island"
6499,"New Britain,Connecticut"
6500,"Lauderhill,Florida"
6523,"Centreville,Virginia"
6529,"Mount Vernon,New York"
6530,"Baldwin Park,California"
6539,"Camden,New Jersey"
6579,"Tamarac,Florida"
6582,"Redondo Beach,California"
6586,"Wilmington,Delaware"
6598,"Bayonne,New Jersey"
6605,"Passaic,New Jersey"
6635,"East Orange,New Jersey"
6638,"Gaithersburg,Maryland"
6646,"Eastvale,California"
6676,"Union City,New Jersey"
6689,"Lynwood,California"
6690,"Skokie,Illinois"
6707,"Schenectady,New York"
6721,"South San Francisco,California"
6730,"Brentwood,New York"
6744,"Malden,Massachusetts"
6788,"Florence-Graham,California"
6790,"Twin Rivers,New Jersey"
6808,"La Habra,California"
6819,"Montebello,California"
6822,"North Bergen,New Jersey"
6824,"Brookline,Massachusetts"
6833,"Pico Rivera,California"
6860,"The Hammocks,Florida"
6867,"Monterey Park,California"
6876,"La Mesa,California"
6880,"Gardena,California"
6886,"Revere,Massachusetts"
6887,"Medford,Massachusetts"
6889,"Cupertino,California"
6896,"North Miami,Florida"
6902,"Taylorsville,Utah"
6905,"Irvington,New Jersey"
6906,"West Allis,Wisconsin"
6916,"Union,New Jersey"
6934,"White Plains,New York"
6936,"Hoboken,New Jersey"
6955,"South Whittier,California"
6975,"Margate,Florida"
6980,"Oak Lawn,Illinois"
6983,"Carson City,Nevada"
6984,"Fountainebleau,Florida"
6994,"Coconut Creek,Florida"
7015,"Fountain Valley,California"
7019,"Berwyn,Illinois"
7025,"National City,California"
7029,"Arcadia,California"
7067,"New Brunswick,New Jersey"
7075,"Huntington Park,California"
7088,"Perth Amboy,New Jersey"
7104,"Tamiami,Florida"
7110,"Westchester,Florida"
7115,"Plainfield,New Jersey"
7117,"Oak Park,Illinois"
7121,"Paramount,California"
7124,"Aspen Hill,Maryland"
7139,"Kendale Lakes,Florida"
7160,"Aloha,Oregon"
7166,"Levittown,New York"
7168,"West New York,New Jersey"
7171,"Bloomfield,New Jersey"
7185,"Placentia,California"
7186,"Aliso Viejo,California"
7191,"Wheaton,Maryland"
7197,"Rosemead,California"
7203,"Florin,California"
7222,"Country Club,Florida"
7224,"Covina,California"
7237,"Lakewood,Ohio"
7247,"North Bethesda,Maryland"
7267,"Cypress,California"
7289,"Cerritos,California"
7316,"Rye,New York"
7339,"North Highlands,California"
7341,"Antelope,California"
7343,"Everett,Massachusetts"
7344,"University,Florida"
7361,"La Mirada,California"
7427,"Arlington,Massachusetts"
7445,"Hackensack,New Jersey"
7468,"Cleveland Heights,Ohio"
7477,"Whitney,Nevada"
7492,"North Lauderdale,Florida"
7498,"Salem,Massachusetts"
7502,"Rohnert Park,California"
7508,"Freeport,New York"
7519,"Oakland Park,Florida"
7521,"Wilkes-Barre,Pennsylvania"
7529,"Campbell,California"
7541,"San Bruno,California"
7548,"Concord,New Hampshire"
7552,"Greenacres,Florida"
7561,"North Miami Beach,Florida"
7575,"Hicksville,New York"
7576,"Jefferson City,Missouri"
7577,"Woonsocket,Rhode Island"
7632,"Annandale,Virginia"
7658,"Teaneck,New Jersey"
7677,"Hallandale Beach,Florida"
7696,"Culver City,California"
7700,"Annapolis,Maryland"
7704,"Montclair,New Jersey"
7715,"Valley Stream,New York"
7730,"Chelsea,Massachusetts"
7735,"Waipahu,Hawaii"
7742,"Bell Gardens,California"
7750,"Lincoln Park,Michigan"
7752,"Aventura,Florida"
7753,"Fort Lee,New Jersey"
7755,"San Gabriel,California"
7766,"Park Ridge,Illinois"
7793,"Keizer,Oregon"
7807,"Mission Bend,Texas"
7821,"La Presa,California"
7824,"La Puente,California"
7839,"Stanton,California"
7844,"East Meadow,New York"
7852,"Belleville,New Jersey"
7853,"Northglenn,Colorado"
7855,"Montclair,California"
7864,"Richmond West,Florida"
7869,"Hanover Park,Illinois"
7880,"Foothill Farms,California"
7905,"Kendall West,Florida"
7912,"Richfield,Minnesota"
7917,"Kearns,Utah"
7926,"Elmont,New York"
7938,"Temple City,California"
7941,"Chillum,Maryland"
7949,"Winchester,Nevada"
7960,"South Miami Heights,Florida"
7966,"Egypt Lake-Leto,Florida"
7979,"Buenaventura Lakes,Florida"
7980,"Westmont,California"
7982,"Lauderdale Lakes,Florida"
8000,"West Hollywood,California"
8005,"Norristown,Pennsylvania"
8006,"Manhattan Beach,California"
8027,"Midvale,Utah"
8039,"Watertown Town,Massachusetts"
8060,"College Park,Maryland"
8063,"University City,Missouri"
8069,"Fair Lawn,New Jersey"
8070,"Long Beach,New York"
8087,"Montgomery Village,Maryland"
8089,"Fair Oaks,Virginia"
8106,"Eastchester,New York"
8110,"Eastpointe,Michigan"
8121,"Huntington Station,New York"
8134,"North Providence,Rhode Island"
8135,"Golden Glades,Florida"
8136,"Bell,California"
8137,"City of Orange,New Jersey"
8141,"Mount Lebanon,Pennsylvania"
8158,"Foster City,California"
8159,"Englewood,Colorado"
8163,"Glendale Heights,Illinois"
8169,"Baldwin,New York"
8171,"Dana Point,California"
8175,"West Little River,Florida"
8192,"Spring Valley,New York"
8197,"Beverly Hills,California"
8202,"Chester,Pennsylvania"
8205,"Uniondale,New York"
8225,"Kiryas Joel,New York"
8227,"Garfield,New Jersey"
8233,"Franklin Square,New York"
8244,"Juneau,Alaska"
8254,"Helena,Montana"
8257,"Lawndale,California"
8264,"San Pablo,California"
8275,"Ithaca,New York"
8283,"Long Branch,New Jersey"
8300,"Bay Shore,New York"
8309,"Port Chester,New York"
8318,"Sterling,Virginia"
8323,"Oceanside,New York"
8326,"Burlingame,California"
8335,"West Falls Church,Virginia"
8345,"Ridley,Pennsylvania"
8356,"Parkville,Maryland"
8358,"San Carlos,California"
8361,"Santa Paula,California"
8370,"Miami Lakes,Florida"
8381,"San Lorenzo,California"
8415,"Middletown,New York"
8424,"Nutley,New Jersey"
8428,"East Palo Alto,California"
8446,"Oak Park,Michigan"
8458,"Rahway,New Jersey"
8459,"Melrose,Massachusetts"
8473,"Laurel,Maryland"
8475,"Suisun City,California"
8485,"Burbank,Illinois"
8486,"Golden Gate,Florida"
8498,"Englewood,New Jersey"
8500,"East Niles,California"
8531,"Drexel Hill,Pennsylvania"
8538,"Frankfort,Kentucky"
8561,"Bergenfield,New Jersey"
8582,"Ewa Gentry,Hawaii"
8583,"Belmont,California"
8596,"Mililani Town,Hawaii"
8601,"Reisterstown,Maryland"
8609,"Easton,Pennsylvania"
8626,"Hamtramck,Michigan"
8627,"Lemon Grove,California"
8642,"Monsey,New York"
8659,"Lindenhurst,New York"
8666,"Belmont,Massachusetts"
8683,"South Pasadena,California"
8694,"Leisure City,Florida"
8700,"Bridgeton,New Jersey"
8704,"Palm Springs,Florida"
8725,"Suitland,Maryland"
8726,"Imperial Beach,California"
8736,"West Whittier-Los Nietos,California"
8740,"Tysons,Virginia"
8757,"Lodi,New Jersey"
8760,"Oak Ridge,Florida"
8764,"El Cerrito,California"
8770,"Coral Terrace,Florida"
8784,"Rockville Centre,New York"
8791,"Ives Estates,Florida"
8796,"Cloverleaf,Texas"
8801,"Mill Creek East,Washington"
8802,"Cliffside Park,New Jersey"
8804,"Maywood,California"
8814,"Maplewood,New Jersey"
8815,"Melrose Park,Illinois"
8817,"Terrytown,Louisiana"
8825,"Peekskill,New York"
8850,"Soledad,California"
8853,"Carteret,New Jersey"
8857,"University Park,Texas"
8866,"South Bradenton,Florida"
8886,"Riverbank,California"
8905,"Herndon,Virginia"
8907,"North Lynnwood,Washington"
8914,"Elmwood Park,Illinois"
8915,"Landover,Maryland"
8917,"Bailey's Crossroads,Virginia"
8933,"Rosemont,California"
8936,"Decatur,Georgia"
8954,"San Fernando,California"
8958,"Willowbrook,California"
8997,"Watauga,Texas"
8999,"Ashland,California"
9010,"Copiague,New York"
9011,"Maywood,Illinois"
9029,"Jasmine Estates,Florida"
9047,"Millbrae,California"
9057,"Cudahy,California"
9058,"West Puente Valley,California"
9062,"East San Gabriel,California"
9063,"Blue Island,Illinois"
9067,"Hialeah Gardens,Florida"
9092,"North Plainfield,New Jersey"
9097,"Woodlawn,Virginia"
9106,"Roselle,New Jersey"
9125,"The Crossings,Florida"
9126,"Dover,Pennsylvania"
9132,"Hillside,New Jersey"
9142,"Massapequa,New York"
9147,"Sunny Isles Beach,Florida"
9154,"Central Falls,Rhode Island"
9172,"West Carson,California"
9173,"West Rancho Dominguez,California"
9179,"Hayesville,Oregon"
9192,"Valinda,California"
9200,"Four Square Mile,Colorado"
9206,"Columbia Heights,Minnesota"
9216,"North Bellmore,New York"
9218,"Lennox,California"
9245,"Elmwood Park,New Jersey"
9250,"Lealman,Florida"
9252,"Mountlake Terrace,Washington"
9273,"McNair,Virginia"
9282,"Lomita,California"
9288,"Mineola,New York"
9293,"Hyattsville,Maryland"
9294,"Langley Park,Maryland"
9299,"West Hempstead,New York"
9339,"Lynbrook,New York"
